wheelbase,carlength,carwidth,carheight,enginesize,horsepower,price
93.70,156.90,63.40,53.70,97.00,69.00,5118.00
88.40,141.10,60.30,53.20,61.00,48.00,5151.00
93.10,159.10,64.20,54.10,91.00,68.00,5195.00
95.70,158.70,63.60,54.50,92.00,62.00,5348.00
93.70,157.30,64.40,50.80,92.00,68.00,5389.00
93.70,150.00,64.00,52.60,79.00,60.00,5399.00
94.50,165.30,63.80,54.50,97.00,69.00,5499.00
93.70,157.30,63.80,50.80,90.00,68.00,5572.00
93.70,157.30,63.80,50.80,90.00,68.00,5572.00
93.10,159.10,64.20,54.10,91.00,68.00,6095.00
93.70,157.30,64.40,50.80,92.00,68.00,6189.00
93.70,157.30,63.80,50.60,90.00,68.00,6229.00
93.70,157.30,63.80,50.60,90.00,68.00,6229.00
94.50,155.90,63.60,52.00,90.00,70.00,6295.00
95.70,158.70,63.60,54.50,92.00,62.00,6338.00
93.70,157.30,63.80,50.80,90.00,68.00,6377.00
86.60,144.60,63.90,50.80,92.00,58.00,6479.00
95.70,158.70,63.60,54.50,92.00,62.00,6488.00
93.70,150.00,64.00,52.60,92.00,76.00,6529.00
94.50,158.80,63.60,52.00,90.00,70.00,6575.00
94.50,165.30,63.80,54.50,97.00,69.00,6649.00
93.70,157.30,64.40,50.80,92.00,68.00,6669.00
93.70,157.30,63.80,50.60,90.00,68.00,6692.00
93.70,167.30,63.80,50.80,90.00,68.00,6692.00
93.10,166.80,64.20,54.10,91.00,68.00,6695.00
94.30,170.70,61.80,53.50,111.00,78.00,6785.00
93.10,159.10,64.20,54.10,91.00,68.00,6795.00
94.50,165.30,63.80,54.50,97.00,69.00,6849.00
86.60,144.60,63.90,50.80,92.00,76.00,6855.00
95.70,169.70,63.60,59.10,92.00,62.00,6918.00
95.70,166.30,64.40,53.00,98.00,70.00,6938.00
96.30,172.40,65.40,51.60,122.00,88.00,6989.00
93.70,157.90,63.60,53.70,108.00,73.00,7053.00
94.50,165.30,63.80,54.50,103.00,55.00,7099.00
97.20,172.00,65.40,52.50,108.00,82.00,7126.00
93.70,150.00,64.00,52.60,92.00,76.00,7129.00
95.70,166.30,64.40,52.80,98.00,70.00,7198.00
96.50,163.40,64.00,54.50,92.00,76.00,7295.00
96.50,157.10,63.90,58.30,92.00,76.00,7295.00
94.50,165.30,63.80,54.50,97.00,69.00,7299.00
94.50,170.20,63.80,53.50,97.00,69.00,7349.00
93.10,166.80,64.20,54.10,91.00,68.00,7395.00
97.00,173.50,65.40,53.00,108.00,82.00,7463.00
94.50,165.30,63.80,54.50,97.00,69.00,7499.00
93.30,157.30,63.80,55.70,108.00,73.00,7603.00
93.70,157.30,63.80,50.60,90.00,68.00,7609.00
93.70,167.30,63.80,50.80,98.00,68.00,7609.00
93.00,157.30,63.80,50.80,98.00,102.00,7689.00
95.70,166.30,64.40,53.00,98.00,70.00,7738.00
97.20,172.00,65.40,52.50,108.00,82.00,7775.00
97.30,171.70,65.50,55.70,97.00,52.00,7775.00
95.70,166.30,64.40,52.80,110.00,56.00,7788.00
94.50,165.60,63.80,53.30,97.00,69.00,7799.00
96.50,167.50,65.20,53.30,110.00,86.00,7895.00
95.70,169.70,63.60,59.10,92.00,62.00,7898.00
95.70,166.30,64.40,53.00,110.00,56.00,7898.00
93.70,157.30,63.80,50.80,98.00,102.00,7957.00
93.70,157.30,63.80,50.80,98.00,102.00,7957.00
97.30,171.70,65.50,55.70,109.00,85.00,7975.00
97.30,171.70,65.50,55.70,97.00,52.00,7995.00
94.50,170.20,63.80,53.50,97.00,69.00,7999.00
96.90,173.60,65.40,54.90,108.00,82.00,8013.00
94.50,168.70,64.00,52.60,98.00,70.00,8058.00
96.30,172.40,65.40,51.60,122.00,88.00,8189.00
97.30,171.70,65.50,55.70,109.00,85.00,8195.00
94.50,168.70,64.00,52.60,98.00,70.00,8238.00
95.10,162.40,63.80,53.30,97.00,69.00,8249.00
95.70,166.30,64.40,52.80,98.00,70.00,8358.00
98.40,176.20,65.60,52.00,146.00,116.00,8449.00
98.80,177.80,66.50,55.50,122.00,84.00,8495.00
97.30,171.70,65.50,55.70,109.00,85.00,8495.00
96.30,173.00,65.40,49.40,122.00,88.00,8499.00
93.70,157.30,63.80,50.60,98.00,102.00,8558.00
95.70,169.70,63.60,59.10,92.00,62.00,8778.00
96.50,175.40,65.20,54.10,110.00,86.00,8845.00
98.80,177.80,66.50,53.70,122.00,84.00,8845.00
94.50,155.90,63.60,52.00,90.00,70.00,8916.50
94.50,155.90,63.60,52.00,90.00,70.00,8916.50
103.30,174.60,64.60,59.80,122.00,88.00,8921.00
103.30,174.60,64.60,59.80,122.00,88.00,8921.00
102.40,175.60,66.50,54.90,122.00,92.00,8948.00
97.20,173.40,65.20,54.70,120.00,97.00,8949.00
96.50,167.50,65.20,53.30,110.00,86.00,9095.00
97.00,172.00,65.40,54.30,108.00,82.00,9233.00
95.70,166.30,64.40,52.80,98.00,70.00,9258.00
96.30,172.40,65.40,51.60,110.00,116.00,9279.00
96.30,172.40,65.40,51.60,110.00,116.00,9279.00
96.10,181.50,66.50,55.20,132.00,90.00,9295.00
94.50,168.70,64.00,52.60,98.00,112.00,9298.00
97.30,171.70,65.50,55.70,97.00,68.00,9495.00
94.50,168.70,64.00,52.60,98.00,112.00,9538.00
97.20,173.40,65.20,54.70,120.00,97.00,9549.00
98.40,176.20,65.60,52.00,146.00,116.00,9639.00
96.10,176.80,66.60,50.50,132.00,90.00,9895.00
96.30,173.00,65.40,49.40,110.00,116.00,9959.00
97.20,172.00,65.40,52.50,108.00,94.00,9960.00
94.50,165.70,64.00,51.40,109.00,90.00,9980.00
102.40,175.60,66.50,53.90,122.00,92.00,9988.00
98.40,176.20,65.60,52.00,146.00,116.00,9989.00
97.30,171.70,65.50,55.70,109.00,100.00,9995.00
97.00,173.50,65.40,53.00,108.00,94.00,10198.00
98.80,177.80,66.50,55.50,122.00,84.00,10245.00
96.50,175.40,62.50,54.10,110.00,86.00,10295.00
96.50,169.10,66.00,51.00,110.00,100.00,10345.00
98.80,177.80,66.50,53.70,122.00,84.00,10595.00
102.40,175.60,66.50,54.90,110.00,73.00,10698.00
98.80,177.80,66.50,55.50,122.00,64.00,10795.00
102.40,175.60,66.50,54.90,122.00,92.00,10898.00
95.30,169.00,65.70,49.60,70.00,101.00,10945.00
96.00,172.60,65.20,51.40,119.00,90.00,11048.00
98.40,176.20,65.60,52.00,146.00,116.00,11199.00
98.80,177.80,66.50,55.50,122.00,84.00,11245.00
102.40,175.60,66.50,53.90,122.00,92.00,11248.00
97.00,172.00,65.40,54.30,108.00,111.00,11259.00
98.40,176.20,65.60,52.00,146.00,116.00,11549.00
94.50,159.30,64.20,55.60,109.00,90.00,11595.00
96.90,173.60,65.40,54.90,108.00,111.00,11694.00
95.30,169.00,65.70,49.60,70.00,101.00,11845.00
99.10,186.60,66.50,56.10,121.00,110.00,11850.00
107.90,186.70,68.40,56.70,120.00,97.00,11900.00
99.10,186.60,66.50,56.10,121.00,110.00,12170.00
100.40,183.10,66.90,55.10,109.00,88.00,12290.00
114.20,198.90,68.40,58.70,120.00,97.00,12440.00
95.90,173.20,66.30,50.20,156.00,145.00,12629.00
95.90,173.20,66.30,50.20,156.00,145.00,12764.00
104.30,188.80,67.20,56.20,141.00,114.00,12940.00
96.50,175.40,65.20,54.10,110.00,101.00,12945.00
95.90,173.20,66.30,50.20,156.00,145.00,12964.00
107.90,186.70,68.40,56.70,152.00,95.00,13200.00
100.40,180.20,66.90,55.10,136.00,110.00,13295.00
104.30,188.80,67.20,57.50,141.00,114.00,13415.00
88.60,168.80,64.10,48.80,130.00,111.00,13495.00
100.40,181.70,66.50,55.10,181.00,152.00,13499.00
100.40,184.60,66.50,55.10,181.00,152.00,13499.00
95.30,169.00,65.70,49.60,70.00,101.00,13645.00
100.40,180.20,66.90,55.10,97.00,68.00,13845.00
114.20,198.90,68.40,58.70,152.00,95.00,13860.00
99.80,176.60,66.20,54.30,109.00,102.00,13950.00
100.40,184.60,66.50,56.10,181.00,152.00,14399.00
95.90,173.20,66.30,50.20,156.00,145.00,14489.00
95.90,173.20,66.30,50.20,156.00,145.00,14869.00
99.10,186.60,66.50,56.10,121.00,110.00,15040.00
99.80,177.30,66.30,53.10,136.00,110.00,15250.00
99.10,186.60,66.50,56.10,121.00,110.00,15510.00
107.90,186.70,68.40,56.70,120.00,95.00,15580.00
95.30,169.00,65.70,49.60,80.00,135.00,15645.00
104.50,187.80,66.50,54.10,171.00,156.00,15690.00
104.50,187.80,66.50,54.10,161.00,156.00,15750.00
104.30,188.80,67.20,56.20,141.00,114.00,15985.00
102.90,183.50,67.70,52.00,171.00,161.00,15998.00
101.20,176.80,64.80,54.30,108.00,101.00,16430.00
88.60,168.80,64.10,48.80,130.00,111.00,16500.00
94.50,171.20,65.50,52.40,152.00,154.00,16500.00
102.70,178.40,68.00,54.80,140.00,175.00,16503.00
104.30,188.80,67.20,57.50,141.00,114.00,16515.00
102.90,183.50,67.70,52.00,171.00,161.00,16558.00
107.90,186.70,68.40,56.70,120.00,97.00,16630.00
114.20,198.90,68.40,56.70,120.00,95.00,16695.00
109.10,188.80,68.90,55.50,141.00,114.00,16845.00
107.90,186.70,68.40,56.70,152.00,95.00,16900.00
101.20,176.80,64.80,54.30,108.00,101.00,16925.00
114.20,198.90,68.40,58.70,152.00,95.00,17075.00
91.30,170.70,67.90,49.70,181.00,160.00,17199.00
99.40,176.60,66.40,54.30,136.00,115.00,17450.00
98.40,176.20,65.60,53.00,146.00,116.00,17669.00
105.80,192.70,71.40,55.70,136.00,110.00,17710.00
99.50,178.20,67.90,52.00,131.00,160.00,17859.17
107.90,186.70,68.40,56.70,152.00,95.00,17950.00
108.00,186.70,68.30,56.00,134.00,142.00,18150.00
99.10,186.60,66.50,56.10,121.00,160.00,18150.00
104.90,175.00,66.10,54.40,140.00,120.00,18280.00
104.90,175.00,66.10,54.40,134.00,72.00,18344.00
99.20,178.50,67.90,49.70,181.00,160.00,18399.00
104.30,188.80,67.20,56.20,130.00,162.00,18420.00
99.10,186.60,66.50,56.10,121.00,160.00,18620.00
105.80,192.70,71.40,55.70,136.00,110.00,18920.00
104.30,188.80,67.20,57.50,130.00,162.00,18950.00
109.10,188.80,68.80,55.50,141.00,160.00,19045.00
91.30,170.70,67.90,49.70,181.00,200.00,19699.00
101.20,176.80,64.80,54.30,164.00,121.00,20970.00
101.20,176.80,64.80,54.30,164.00,121.00,21105.00
109.10,188.80,68.90,55.50,173.00,134.00,21485.00
94.50,168.90,68.30,50.20,151.00,143.00,22018.00
109.10,188.80,68.90,55.50,145.00,106.00,22470.00
109.10,188.80,68.90,55.50,141.00,114.00,22625.00
105.80,192.70,71.40,55.90,131.00,140.00,23875.00
103.50,189.00,66.90,55.70,164.00,121.00,24565.00
110.00,190.90,70.30,56.50,183.00,123.00,25552.00
106.70,187.50,70.30,54.90,183.00,123.00,28176.00
110.00,190.90,70.30,58.70,183.00,123.00,28248.00
103.50,189.00,66.90,55.70,209.00,182.00,30760.00
98.40,175.70,72.30,50.50,203.00,288.00,31400.50
115.60,202.60,71.70,56.30,183.00,123.00,31600.00
113.00,199.60,69.60,52.80,258.00,176.00,32250.00
89.50,168.90,65.00,51.60,194.00,207.00,32528.00
89.50,168.90,65.00,51.60,194.00,207.00,34028.00
115.60,202.60,71.70,56.50,234.00,155.00,34184.00
96.60,180.30,70.50,50.80,234.00,155.00,35056.00
113.00,199.60,69.60,52.80,258.00,176.00,35550.00
102.00,191.70,70.60,47.80,326.00,262.00,36000.00
110.00,197.00,70.90,56.30,209.00,182.00,36880.00
89.50,168.90,65.00,51.60,194.00,207.00,37028.00
120.90,208.10,71.70,56.70,308.00,184.00,40960.00
