bedrooms,bathrooms,sqft_living,sqft_lot,sqft_above,sqft_basement,price
3.00,1.00,1180.00,5650.00,1180.00,0.00,221900.00
3.00,2.25,2570.00,7242.00,2170.00,400.00,538000.00
2.00,1.00,770.00,10000.00,770.00,0.00,180000.00
4.00,3.00,1960.00,5000.00,1050.00,910.00,604000.00
3.00,2.00,1680.00,8080.00,1680.00,0.00,510000.00
4.00,4.50,5420.00,101930.00,3890.00,1530.00,1225000.00
3.00,2.25,1715.00,6819.00,1715.00,0.00,257500.00
3.00,1.50,1060.00,9711.00,1060.00,0.00,291850.00
3.00,1.00,1780.00,7470.00,1050.00,730.00,229500.00
3.00,2.50,1890.00,6560.00,1890.00,0.00,323000.00
3.00,2.50,3560.00,9796.00,1860.00,1700.00,662500.00
2.00,1.00,1160.00,6000.00,860.00,300.00,468000.00
3.00,1.00,1430.00,19901.00,1430.00,0.00,310000.00
3.00,1.75,1370.00,9680.00,1370.00,0.00,400000.00
5.00,2.00,1810.00,4850.00,1810.00,0.00,530000.00
4.00,3.00,2950.00,5000.00,1980.00,970.00,650000.00
3.00,2.00,1890.00,14040.00,1890.00,0.00,395000.00
4.00,1.00,1600.00,4300.00,1600.00,0.00,485000.00
2.00,1.00,1200.00,9850.00,1200.00,0.00,189000.00
3.00,1.00,1250.00,9774.00,1250.00,0.00,230000.00
4.00,1.75,1620.00,4980.00,860.00,760.00,385000.00
3.00,2.75,3050.00,44867.00,2330.00,720.00,2000000.00
5.00,2.50,2270.00,6300.00,2270.00,0.00,285000.00
2.00,1.50,1070.00,9643.00,1070.00,0.00,252700.00
3.00,2.25,2450.00,6500.00,2450.00,0.00,329000.00
3.00,2.00,1710.00,4697.00,1710.00,0.00,233000.00
3.00,1.75,2450.00,2691.00,1750.00,700.00,937000.00
3.00,1.00,1400.00,1581.00,1400.00,0.00,667000.00
3.00,1.75,1520.00,6380.00,790.00,730.00,438000.00
4.00,2.50,2570.00,7173.00,2570.00,0.00,719000.00
3.00,2.50,2320.00,3980.00,2320.00,0.00,580500.00
2.00,1.50,1190.00,1265.00,1190.00,0.00,280000.00
4.00,1.75,2330.00,5000.00,1510.00,820.00,687500.00
3.00,1.00,1090.00,3000.00,1090.00,0.00,535000.00
4.00,2.75,2060.00,6659.00,1280.00,780.00,322500.00
3.00,2.50,2300.00,3060.00,1510.00,790.00,696000.00
4.00,1.00,1660.00,34848.00,930.00,730.00,550000.00
4.00,2.00,2360.00,6000.00,2360.00,0.00,640000.00
4.00,1.00,1220.00,8075.00,890.00,330.00,240000.00
4.00,2.50,2620.00,7553.00,2620.00,0.00,605000.00
4.00,2.50,2570.00,5520.00,2570.00,0.00,625000.00
4.00,2.25,4220.00,24186.00,2600.00,1620.00,775000.00
5.00,2.75,3595.00,5639.00,3595.00,0.00,861990.00
3.00,1.00,1570.00,2280.00,1570.00,0.00,685000.00
3.00,1.00,1280.00,9656.00,920.00,360.00,309000.00
3.00,2.50,3160.00,13603.00,3160.00,0.00,488000.00
3.00,1.00,990.00,8528.00,990.00,0.00,210490.00
4.00,2.50,2290.00,13416.00,2290.00,0.00,785000.00
3.00,1.75,1250.00,5963.00,1250.00,0.00,450000.00
3.00,2.50,2753.00,65005.00,2165.00,588.00,1350000.00
3.00,1.00,1190.00,9199.00,1190.00,0.00,228000.00
5.00,2.50,3150.00,9134.00,1640.00,1510.00,345000.00
3.00,1.75,1410.00,4080.00,1000.00,410.00,600000.00
2.00,1.75,1980.00,8550.00,990.00,990.00,585000.00
5.00,2.25,2730.00,6000.00,2130.00,600.00,920000.00
4.00,2.50,2830.00,5000.00,2830.00,0.00,885000.00
4.00,2.50,2250.00,4495.00,2250.00,0.00,292500.00
3.00,2.50,2420.00,4750.00,2420.00,0.00,301000.00
5.00,3.25,3250.00,14342.00,3250.00,0.00,951000.00
4.00,3.00,1850.00,9976.00,1850.00,0.00,430000.00
3.00,2.25,2150.00,21235.00,1590.00,560.00,650000.00
3.00,1.75,1260.00,8400.00,1260.00,0.00,289000.00
3.00,1.75,2519.00,8690.00,2519.00,0.00,505000.00
3.00,1.75,1540.00,1044.00,1540.00,0.00,549000.00
3.00,2.25,1660.00,6000.00,1110.00,550.00,425000.00
3.00,2.75,2770.00,3809.00,1770.00,1000.00,317625.00
4.00,2.50,2720.00,11049.00,2720.00,0.00,975000.00
4.00,2.50,2240.00,4648.00,2240.00,0.00,287000.00
3.00,1.00,1000.00,12070.00,1000.00,0.00,204000.00
5.00,2.25,3200.00,20158.00,1600.00,1600.00,1325000.00
5.00,3.25,4770.00,50094.00,3070.00,1700.00,1040000.00
3.00,2.00,1260.00,5612.00,1260.00,0.00,325000.00
4.00,2.00,2750.00,7807.00,2250.00,500.00,571000.00
4.00,2.50,2380.00,5000.00,2380.00,0.00,360000.00
3.00,1.75,1790.00,50529.00,1090.00,700.00,349000.00
4.00,4.00,3430.00,35102.00,2390.00,1040.00,832500.00
4.00,1.75,1760.00,7300.00,880.00,880.00,380000.00
3.00,1.00,1040.00,5060.00,1040.00,0.00,480000.00
3.00,1.00,1410.00,5060.00,910.00,500.00,410000.00
4.00,2.50,3450.00,39683.00,3450.00,0.00,720000.00
3.00,2.50,2350.00,5100.00,2350.00,0.00,390000.00
4.00,2.50,1900.00,5889.00,1900.00,0.00,360000.00
2.00,1.00,2020.00,6720.00,1010.00,1010.00,355000.00
3.00,1.50,1680.00,8712.00,1680.00,0.00,356000.00
3.00,1.00,960.00,6634.00,960.00,0.00,315000.00
3.00,1.50,2140.00,3600.00,1900.00,240.00,940000.00
5.00,2.25,2660.00,8400.00,2660.00,0.00,305000.00
3.00,3.25,2770.00,6278.00,1980.00,790.00,461000.00
2.00,2.25,1610.00,2040.00,1610.00,0.00,215000.00
2.00,1.75,1030.00,1066.00,765.00,265.00,335000.00
4.00,2.50,1980.00,7403.00,1980.00,0.00,243500.00
5.00,2.75,3520.00,6353.00,3520.00,0.00,1099880.00
3.00,1.00,1200.00,10500.00,1200.00,0.00,153000.00
3.00,1.50,1580.00,5000.00,1290.00,290.00,430000.00
3.00,1.50,1580.00,5000.00,1290.00,290.00,700000.00
4.00,2.50,3300.00,10250.00,2390.00,910.00,905000.00
3.00,1.75,1960.00,15681.00,1960.00,0.00,247500.00
4.00,1.50,1160.00,6400.00,1160.00,0.00,199000.00
3.00,1.75,1810.00,41800.00,1210.00,600.00,314000.00
3.00,2.50,2320.00,36847.00,2320.00,0.00,437500.00
3.00,2.50,2070.00,13241.00,1270.00,800.00,850830.00
3.00,2.00,1980.00,3478.00,1440.00,540.00,555000.00
3.00,2.25,2190.00,107593.00,2190.00,0.00,699950.00
3.00,2.50,2920.00,8113.00,2920.00,0.00,1088000.00
3.00,1.00,1210.00,33919.00,1210.00,0.00,290000.00
3.00,2.50,2340.00,10005.00,1460.00,880.00,375000.00
3.00,1.00,1670.00,4005.00,1170.00,500.00,460000.00
2.00,1.75,1240.00,2493.00,1240.00,0.00,188500.00
4.00,2.50,3140.00,28037.00,3140.00,0.00,680000.00
5.00,1.75,2030.00,12342.00,2030.00,0.00,470000.00
4.00,2.50,2310.00,9624.00,2310.00,0.00,597750.00
3.00,1.75,1260.00,3328.00,700.00,560.00,570000.00
3.00,1.75,1540.00,12600.00,1160.00,380.00,272500.00
3.00,1.75,2080.00,5969.00,1080.00,1000.00,329950.00
4.00,2.50,3230.00,16171.00,2520.00,710.00,480000.00
3.00,3.50,4380.00,6350.00,2780.00,1600.00,740500.00
3.00,3.50,1590.00,1102.00,1590.00,0.00,518500.00
2.00,1.00,880.00,6780.00,880.00,0.00,205425.00
4.00,2.00,1570.00,9600.00,1570.00,0.00,171800.00
4.00,1.00,1610.00,2982.00,1610.00,0.00,535000.00
3.00,2.50,2400.00,6474.00,1560.00,840.00,660000.00
3.00,2.00,1450.00,9132.00,1450.00,0.00,391500.00
2.00,1.00,770.00,6000.00,770.00,0.00,395000.00
4.00,1.75,2100.00,4400.00,1720.00,380.00,445000.00
3.00,2.25,2910.00,10204.00,2910.00,0.00,770000.00
4.00,2.75,2750.00,17789.00,1980.00,770.00,1450000.00
3.00,2.25,2100.00,8201.00,1620.00,480.00,445000.00
4.00,2.25,2160.00,8811.00,1360.00,800.00,260000.00
5.00,3.50,2320.00,4960.00,1720.00,600.00,822500.00
4.00,2.50,2070.00,4310.00,2070.00,0.00,430000.00
3.00,1.75,1060.00,7875.00,1060.00,0.00,212000.00
4.00,2.25,2010.00,9603.00,1440.00,570.00,660500.00
3.00,3.50,3950.00,111078.00,2460.00,1490.00,784000.00
3.00,2.50,2010.00,2287.00,1390.00,620.00,453246.00
4.00,3.50,2140.00,2278.00,2140.00,0.00,675000.00
3.00,1.75,1320.00,17390.00,1320.00,0.00,199000.00
4.00,1.75,2020.00,7840.00,1010.00,1010.00,220000.00
4.00,2.25,2590.00,10002.00,1340.00,1250.00,452000.00
